x,y
0.010000,0.010000
0.010000,1.121111
0.010000,2.232222
0.010000,3.343333
0.010000,4.454444
0.010000,5.565556
0.010000,6.676667
0.010000,7.787778
0.010000,8.898889
0.010000,10.000000
1.121111,0.010000
1.121111,1.121111
1.121111,2.232222
1.121111,3.343333
1.121111,4.454444
1.121111,5.565556
1.121111,6.676667
1.121111,7.787778
1.121111,8.898889
1.121111,10.000000
2.232222,0.010000
2.232222,1.121111
2.232222,2.232222
2.232222,3.343333
2.232222,4.454444
2.232222,5.565556
2.232222,6.676667
2.232222,7.787778
2.232222,8.898889
2.232222,10.000000
3.343333,0.010000
3.343333,1.121111
3.343333,2.232222
3.343333,3.343333
3.343333,4.454444
3.343333,5.565556
3.343333,6.676667
3.343333,7.787778
3.343333,8.898889
3.343333,10.000000
4.454444,0.010000
4.454444,1.121111
4.454444,2.232222
4.454444,3.343333
4.454444,4.454444
4.454444,5.565556
4.454444,6.676667
4.454444,7.787778
4.454444,8.898889
4.454444,10.000000
5.565556,0.010000
5.565556,1.121111
5.565556,2.232222
5.565556,3.343333
5.565556,4.454444
5.565556,5.565556
5.565556,6.676667
5.565556,7.787778
5.565556,8.898889
5.565556,10.000000
6.676667,0.010000
6.676667,1.121111
6.676667,2.232222
6.676667,3.343333
6.676667,4.454444
6.676667,5.565556
6.676667,6.676667
6.676667,7.787778
6.676667,8.898889
6.676667,10.000000
7.787778,0.010000
7.787778,1.121111
7.787778,2.232222
7.787778,3.343333
7.787778,4.454444
7.787778,5.565556
7.787778,6.676667
7.787778,7.787778
7.787778,8.898889
7.787778,10.000000
8.898889,0.010000
8.898889,1.121111
8.898889,2.232222
8.898889,3.343333
8.898889,4.454444
8.898889,5.565556
8.898889,6.676667
8.898889,7.787778
8.898889,8.898889
8.898889,10.000000
10.000000,0.010000
10.000000,1.121111
10.000000,2.232222
10.000000,3.343333
10.000000,4.454444
10.000000,5.565556
10.000000,6.676667
10.000000,7.787778
10.000000,8.898889
10.000000,10.000000
